species,gene_id,gene_symbol,biotype,overlap_count,analyses
human,ENSG00000006695,COX10,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000007062,PROM1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000007080,CCDC124,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007202,BLTP2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007264,MATK,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000007312,CD79B,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000007376,RPUSD1,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007384,RHBDF1,protein_coding,4,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007516,BAIAP3,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007520,TSR3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007541,PIGQ,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007923,DNAJC11,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000007933,FMO3,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000007944,MYLIP,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000008128,CDK11A,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000008196,TFAP2B,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000008197,TFAP2D,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000008256,CYTH3,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000008283,CYB561,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000008441,NFIX,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000008710,PKD1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000008838,MED24,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000009790,TRAF3IP3,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000009830,POMT2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000010278,CD9,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000010292,NCAPD2,protein_coding,4,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000010295,IFFO1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000010310,GIPR,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000010327,STAB1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000010671,BTK,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000010810,FYN,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000010932,FMO1,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011028,MRC2,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011105,TSPAN9,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011132,APBA3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011347,SYT7,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011376,LARS2,protein_coding,2,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011422,PLAUR,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000011451,WIZ,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000011465,DCN,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000011478,QPCTL,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000011600,TYROBP,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000011638,LDAF1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000012124,CD22,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000012171,SEMA3B,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000012232,EXTL3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000012660,ELOVL5,protein_coding,3,Patient | GSE130970 | NAS high (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000012779,ALOX5,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000013297,CLDN11,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000013306,SLC25A39,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000013364,MVP,protein_coding,7,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000013375,PGM3,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000013392,RWDD2A,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000013441,CLK1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000013563,DNASE1L1,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000013619,MAMLD1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000013810,TACC3,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000014164,ZC3H3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000014216,CAPN1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000014914,MTMR11,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000015285,WAS,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000018280,SLC11A1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000019144,PHLDB1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000019169,MARCO,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000019582,CD74,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000019991,HGF,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000019995,ZRANB1,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000020129,NCDN,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000020181,ADGRA2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000020256,ZFP64,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000020577,SAMD4A,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000021461,CYP3A43,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000021645,NRXN3,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000022567,SLC45A4,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000023171,GRAMD1B,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000023191,RNH1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000023330,ALAS1,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000023445,BIRC3,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000023892,DEF6,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000023902,PLEKHO1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000024422,EHD2,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000025039,RRAGD,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000025708,TYMP,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000025772,TOMM34,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000025800,KPNA6,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000026025,VIM,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000026508,CD44,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000026652,AGPAT4,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000026751,SLAMF7,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000027075,PRKCH,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000027697,IFNGR1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000028137,TNFRSF1B,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000028277,POU2F2,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000028310,BRD9,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000029153,BMAL2,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000029725,RABEP1,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000029993,HMGB3,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000030110,BAK1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000030582,GRN,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000031081,ARHGAP31,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000031698,SARS1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000032444,PNPLA6,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000033011,ALG1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000033100,CHPF2,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000033327,GAB2,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000033627,ATP6V0A1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000034510,TMSB10,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000035403,VCL,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000035664,DAPK2,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000035720,STAP1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000035862,TIMP2,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000036672,USP2,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000037897,METTL1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000038358,EDC4,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000038427,VCAN,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000038945,MSR1,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000040487,SLC66A1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000040608,RTN4R,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000042062,RIPOR3,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000042088,TDP1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000042286,AIFM2,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000042493,CAPG,protein_coding,7,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000043462,LCP2,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000044090,CUL7,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000044459,CNTLN,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000044524,EPHA3,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000044574,HSPA5,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000046651,OFD1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000047230,CTPS2,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000047315,POLR2B,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000047457,CP,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000047597,XK,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000048140,TSPAN17,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000048740,CELF2,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000048991,R3HDM1,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000049540,ELN,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000049656,CLPTM1L,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000049768,FOXP3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000050165,DKK3,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000050327,ARHGEF5,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000050555,LAMC3,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000050820,BCAR1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000051128,HOMER3,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000051523,CYBA,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000051825,MPHOSPH9,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000052344,PRSS8,protein_coding,6,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000052749,RRP12,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000053702,NRIP2,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000053747,LAMA3,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000053900,ANAPC4,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000054179,ENTPD2,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000054277,OPN3,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000054793,ATP9A,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000055044,NOP58,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000055163,CYFIP2,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000055950,MRPL43,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000056736,IL17RB,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000057252,SOAT1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000058262,SEC61A1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000058404,CAMK2B,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000059377,TBXAS1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
